Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Cameroon,Kribi,70,Moderate,2,Good,35,Good,0,Good,70,Moderate
China,Kunyang,171,Unhealthy,4,Good,171,Unhealthy,2,Good,128,Unhealthy For Sensitive Groups
India,Kurara,196,Unhealthy,2,Good,96,Moderate,0,Good,196,Unhealthy
Japan,Kurayoshi,47,Good,1,Good,35,Good,1,Good,47,Good
Russian Federation,Kusa,31,Good,1,Good,31,Good,0,Good,20,Good
Russian Federation,Kyakhta,37,Good,1,Good,34,Good,0,Good,37,Good
Mexico,La Antigua,108,Unhealthy For Sensitive Groups,2,Good,19,Good,6,Good,108,Unhealthy For Sensitive Groups
France,La Chapelle Sur Erdre,24,Good,1,Good,22,Good,4,Good,24,Good
Panama,La Concepcion,55,Moderate,2,Good,16,Good,4,Good,55,Moderate
Colombia,La Victoria,80,Moderate,3,Good,1,Good,6,Good,80,Moderate
India,Machhlishahr,171,Unhealthy,4,Good,155,Unhealthy,1,Good,171,Unhealthy
India,Madgaon,82,Moderate,0,Good,23,Good,0,Good,82,Moderate
India,Madhugiri,62,Moderate,0,Good,21,Good,0,Good,62,Moderate
Portugal,Mafra,37,Good,1,Good,37,Good,4,Good,16,Good
India,Mahwa,219,Very Unhealthy,1,Good,61,Moderate,0,Good,219,Very Unhealthy
Poland,Malbork,92,Moderate,1,Good,34,Good,2,Good,92,Moderate
India,Malia,157,Unhealthy,0,Good,29,Good,0,Good,157,Unhealthy
Turkey,Malkara,46,Good,1,Good,46,Good,0,Good,39,Good
India,Mallapuram,63,Moderate,1,Good,24,Good,2,Good,63,Moderate
Philippines,Malvar,53,Moderate,0,Good,23,Good,1,Good,53,Moderate
India,Mandleshwar,163,Unhealthy,1,Good,34,Good,0,Good,163,Unhealthy
India,Mangalagiri,93,Moderate,1,Good,26,Good,1,Good,93,Moderate
Philippines,Mangaldan,51,Moderate,0,Good,24,Good,1,Good,51,Moderate
India,Mangrol,238,Very Unhealthy,1,Good,39,Good,0,Good,238,Very Unhealthy
Cuba,Manicaragua,54,Moderate,1,Good,18,Good,2,Good,54,Moderate
Brazil,Manicore,31,Good,1,Good,2,Good,0,Good,31,Good
Spain,Manises,32,Good,1,Good,32,Good,1,Good,22,Good
Niger,Maradi,41,Good,2,Good,25,Good,1,Good,41,Good
Philippines,Marawi,45,Good,1,Good,19,Good,0,Good,45,Good
Italy,Marcianise,62,Moderate,1,Good,62,Moderate,2,Good,55,Moderate
